ms_nr,bundesland,behoerde,kreis,bez,ags,latitude,longitude,pct_data_1990_2021,trend_normalized,trend_bin,trend_raw,range,p_value,2012_x,2013_x,2014_x,2015_x,2016_x,2017_x,2018_x,2019_x,2020_x,2021_x,messstellen_insgesamt,2012_y,2013_y,2014_y,2015_y,2016_y,2017_y,2018_y,2019_y,2020_y,2021_y,2012_y_binned,2013_y_binned,2014_y_binned,2015_y_binned,2016_y_binned,2017_y_binned,2018_y_binned,2019_y_binned,2020_y_binned,2021_y_binned
bb-28510981,Brandenburg,bb,Uckermark,Landkreis,12073.0,53.19305318110656,14.32206464242378,0.9973958333333334,0.55601465967201,leicht steigend,0.0050319326700317,0.905,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,17.0,6.0,54,9.760655737704916,9.50082191780822,11.02931506849315,10.641643835616438,10.405737704918034,10.373424657534247,11.40082191780822,11.47972602739726,11.403005464480874,10.055342465753425,low,low,medium,medium,medium,medium,medium,medium,medium,medium
bb-28510982,Brandenburg,bb,Uckermark,Landkreis,12073.0,53.1736719740185,14.294168276002871,0.9739583333333334,-0.287922111119,kein starker Trend,-0.0023688559497065,0.822741935483871,4.59e-14,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,17.0,6.0,54,9.760655737704916,9.50082191780822,11.02931506849315,10.641643835616438,10.405737704918034,10.373424657534247,11.40082191780822,11.47972602739726,11.403005464480874,10.055342465753425,low,low,medium,medium,medium,medium,medium,medium,medium,medium
bb-28511201,Brandenburg,bb,Uckermark,Landkreis,12073.0,53.11684690128996,14.293650015456754,0.9947916666666666,-0.47634801797985,kein starker Trend,-0.0040370494523792,0.8475,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,17.0,6.0,54,9.760655737704916,9.50082191780822,11.02931506849315,10.641643835616438,10.405737704918034,10.373424657534247,11.40082191780822,11.47972602739726,11.403005464480874,10.055342465753425,low,low,medium,medium,medium,medium,medium,medium,medium,medium
bb-28511204,Brandenburg,bb,Uckermark,Landkreis,12073.0,53.11985837165358,14.307422509603798,0.9817708333333334,-0.25342463696125,kein starker Trend,-0.0034148969830529,1.3475,1.08e-14,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,17.0,6.0,54,9.760655737704916,9.50082191780822,11.02931506849315,10.641643835616438,10.405737704918034,10.373424657534247,11.40082191780822,11.47972602739726,11.403005464480874,10.055342465753425,low,low,medium,medium,medium,medium,medium,medium,medium,medium
bb-28511207,Brandenburg,bb,Uckermark,Landkreis,12073.0,53.1226724782667,14.326295760714974,0.9791666666666666,-1.18799165005563,stark sinkend,-0.0132461068981203,1.115,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,17.0,6.0,54,9.760655737704916,9.50082191780822,11.02931506849315,10.641643835616438,10.405737704918034,10.373424657534247,11.40082191780822,11.47972602739726,11.403005464480874,10.055342465753425,low,low,medium,medium,medium,medium,medium,medium,medium,medium
bb-28511229,Brandenburg,bb,Uckermark,Landkreis,12073.0,53.14769635792784,14.16546639383955,0.9765625,-0.44254469763382,kein starker Trend,-0.0064058344982495,1.4475,6.03e-14,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,17.0,6.0,54,9.760655737704916,9.50082191780822,11.02931506849315,10.641643835616438,10.405737704918034,10.373424657534247,11.40082191780822,11.47972602739726,11.403005464480874,10.055342465753425,low,low,medium,medium,medium,medium,medium,medium,medium,medium
bb-28511230,Brandenburg,bb,Uckermark,Landkreis,12073.0,53.1032690833225,14.31766678857193,0.9713541666666666,0.60644325975958,leicht steigend,0.0093998705262735,1.55,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,17.0,6.0,54,9.760655737704916,9.50082191780822,11.02931506849315,10.641643835616438,10.405737704918034,10.373424657534247,11.40082191780822,11.47972602739726,11.403005464480874,10.055342465753425,low,low,medium,medium,medium,medium,medium,medium,medium,medium
bb-28519035,Brandenburg,bb,Uckermark,Landkreis,12073.0,53.09874352551351,14.307657123602793,0.9713541666666666,0.0558666706263999,kein starker Trend,0.0007583900537534,1.3575,0.274080245901317,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,17.0,6.0,54,9.760655737704916,9.50082191780822,11.02931506849315,10.641643835616438,10.405737704918034,10.373424657534247,11.40082191780822,11.47972602739726,11.403005464480874,10.055342465753425,low,low,medium,medium,medium,medium,medium,medium,medium,medium
bb-28521218,Brandenburg,bb,Uckermark,Landkreis,12073.0,53.139945993361245,14.34489178291447,0.9765625,-0.88403842895027,leicht sinkend,-0.0152938648208397,1.73,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,17.0,6.0,54,9.760655737704916,9.50082191780822,11.02931506849315,10.641643835616438,10.405737704918034,10.373424657534247,11.40082191780822,11.47972602739726,11.403005464480874,10.055342465753425,low,low,medium,medium,medium,medium,medium,medium,medium,medium
bb-28521228,Brandenburg,bb,Uckermark,Landkreis,12073.0,53.15882040090496,14.336184208327255,0.9713541666666666,-0.31186302160514,kein starker Trend,-0.0020271096404334,0.65,2.27e-14,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,17.0,6.0,54,9.760655737704916,9.50082191780822,11.02931506849315,10.641643835616438,10.405737704918034,10.373424657534247,11.40082191780822,11.47972602739726,11.403005464480874,10.055342465753425,low,low,medium,medium,medium,medium,medium,medium,medium,medium
bb-29472968,Brandenburg,bb,Uckermark,Landkreis,12073.0,52.998341835516015,13.528436099822516,0.96875,0.12884642233902,kein starker Trend,0.0016299072425886,1.265,2.442e-13,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,17.0,6.0,54,9.760655737704916,9.50082191780822,11.02931506849315,10.641643835616438,10.405737704918034,10.373424657534247,11.40082191780822,11.47972602739726,11.403005464480874,10.055342465753425,low,low,medium,medium,medium,medium,medium,medium,medium,medium
